system:index,count,label,.geo
+1101+385,11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.25888343022767,24.138140009420688]}"
+1106+386,15,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.56643391749986,24.12365807817367]}"
+1107+374,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.64189240136591,23.549335173193256]}"
+1112+374,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.0191848206961,23.507413793267677]}"
+1114+427,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.08206689058447,26.882084877276682]}"
+1120+445,163,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.09248293897089,27.3558221890737]}"
+1125+380,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.7737696593565,23.926627592523456]}"
+1127+430,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.89953379913324,27.07073108694178]}"
+1128+378,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.9624158690216,23.80086345274672]}"
+1131+380,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.1510620786867,23.926627592523456]}"
+1131+384,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.11962104374251,24.146714837132738]}"
+1132+377,11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.27682621846343,23.595067587657525]}"
+1132+392,7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.22292730141626,24.57341459708951]}"
+1134+442,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.26110570099134,27.809595408130086]}"
+1136+372,26,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.40742744053927,23.27845856444337]}"
+1144+448,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.96852898723546,28.171167309988192]}"
+1148+450,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.22005726678893,28.281210932292836]}"
+1148+452,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.22005726678893,28.454136624485844]}"
+1149+455,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.2829393366773,28.642782834150943]}"
+1152+451,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44014451139822,28.391254554597477]}"
+1154+362,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.56590865117495,22.794750334532857]}"
+1154+365,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.55542830619355,22.96243585423517]}"
+1154+459,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.59734968611913,28.894311113704408]}"
+1155+456,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.66023175600749,28.674223869095126]}"
+1156+343,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.72311382589587,21.599991006653894]}"
+1156+452,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.68538458396284,28.40383096857515]}"
+1159+306,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94948927749398,19.172743108962944]}"
+1159+461,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88031900061678,29.020075253481142]}"
